#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D361
#Date Time: 2023-05-05 13:37:05.310
#Sample rate: 1600Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 100 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Pulse
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 1.8 V
#Offset: 0 V
#Symmetry: 10 %
#Phase: 90 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Pulse
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 1.8 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 180 °

Time (s),Channel 1 (V)
7.367946428571429,-0.002922598565950421
7.368571428571428,-0.002922598565950421
7.369196428571429,-0.002922598565950421
7.369821428571428,-0.002922598565950421
7.370446428571428,-0.003259573077211285
7.371071428571429,-0.002922598565950421
7.371696428571428,-0.003933522099733014
7.372321428571428,-0.006966292701080788
7.372946428571429,-0.003259573077211898
7.373571428571428,-0.003933522099733014
7.374196428571429,-0.003259573077211285
7.374821428571428,-0.002922598565950728
7.375446428571428,-0.002922598565950421
7.376071428571429,-0.002585624054689557
7.376696428571428,-0.002922598565950115
7.377321428571428,-0.002585624054689557
7.377946428571429,-0.002585624054689557
7.378571428571428,-0.002585624054689557
7.379196428571428,-0.002585624054689557
7.379821428571429,-0.002248649543428694
7.380446428571428,0.002805968125484265
7.381071428571429,-0.001911675032167829
7.381696428571429,-0.003259573077210672
7.382321428571428,-0.002585624054689557
7.382946428571429,-0.002585624054689557
7.383571428571429,-0.002922598565950421
7.384196428571428,-0.002922598565950421
7.384821428571429,-0.002922598565950421
7.385446428571428,-0.002922598565950421
7.386071428571428,-0.002922598565950421
7.386696428571429,-0.002922598565950421
7.387321428571428,-0.003259573077211285
7.387946428571428,-0.003259573077211285
7.388571428571429,-0.005618394656037026
7.389196428571428,-0.005281420144776469
7.389821428571429,-0.003933522099733014
7.390446428571428,-0.003933522099733014
7.391071428571428,-0.003259573077211285
7.391696428571429,-0.002922598565950421
7.392321428571428,-0.002922598565950421
7.392946428571428,-0.002585624054689557
7.393571428571429,-0.002922598565950421
7.394196428571428,-0.002585624054689557
