#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D361
#Date Time: 2023-05-05 14:17:05.468
#Sample rate: 1600Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 100 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Pulse
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 1.8 V
#Offset: 0 V
#Symmetry: 10 %
#Phase: 90 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Pulse
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 1.8 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 180 °

Time (s),Channel 1 (V),Channel 2 (V)
2.362592995169082,-0.003933522099733014,-0.0007334150692183095
2.363217995169081,-0.003596547588472302,-0.0003972061823267253
2.363842995169082,-0.004944445633515299,-0.002414459503676536
2.364467995169082,-0.004270496610993877,-0.001405832843001784
2.365092995169082,-0.001911675032167829,0.002292464912807324
2.365717995169081,-0.00662931818981778,-0.005440339485699114
2.366342995169082,-0.005281420144776469,-0.002750668390568732
2.366967995169082,-0.004607471122254741,-0.001405832843001784
2.367592995169082,-0.004607471122254741,-0.001069623956110047
2.368217995169082,-0.003596547588472609,0.0002752115914562902
2.368842995169082,-0.004607471122254741,-0.001069623956110047
2.369467995169082,-0.004607471122254741,-0.0007334150692183095
2.370092995169081,-0.00393352209973332,0.0002752115914564431
2.370717995169082,-0.004270496610993877,-0.0003972061823265725
